analogValue,analogMidValue,microVolt,Amp,microAmp,Amp^2,取1200次平方和,取1200次平方和除與次數,電流值(毫安培),
527,3,14.65,0.24,244.14,0.0576,1136.6395,0.947199583,973.2417908,796.7297515
513,-11,-53.71,-0.9,-895.18,0.81,1200,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
513,-11,-53.71,-0.9,-895.18,0.81,,,,
529,5,24.41,0.41,406.9,0.1681,,,,
535,11,53.71,0.9,895.18,0.81,,,,
509,-15,-73.24,-1.22,-1220.7,1.4884,,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
512,-12,-58.59,-0.98,-976.56,0.9604,,,,
521,-3,-14.65,-0.24,-244.14,0.0576,,,,
539,15,73.24,1.22,1220.7,1.4884,,,,
509,-15,-73.24,-1.22,-1220.7,1.4884,,,,
537,13,63.48,1.06,1057.94,1.1236,,,,
526,2,9.77,0.16,162.76,0.0256,,,,
514,-10,-48.83,-0.81,-813.8,0.6561,,,,
543,19,92.77,1.55,1546.22,2.4025,,,,
512,-12,-58.59,-0.98,-976.56,0.9604,,,,
530,6,29.3,0.49,488.28,0.2401,,,,
532,8,39.06,0.65,651.04,0.4225,,,,
511,-13,-63.48,-1.06,-1057.94,1.1236,,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
517,-7,-34.18,-0.57,-569.66,0.3249,,,,
511,-13,-63.48,-1.06,-1057.94,1.1236,,,,
540,16,78.12,1.3,1302.08,1.69,,,,
518,-6,-29.3,-0.49,-488.28,0.2401,,,,
521,-3,-14.65,-0.24,-244.14,0.0576,,,,
539,15,73.24,1.22,1220.7,1.4884,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
536,12,58.59,0.98,976.56,0.9604,,,,
527,3,14.65,0.24,244.14,0.0576,,,,
540,16,78.12,1.3,1302.08,1.69,,,,
521,-3,-14.65,-0.24,-244.14,0.0576,,,,
520,-4,-19.53,-0.33,-325.52,0.1089,,,,
540,16,78.12,1.3,1302.08,1.69,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
537,13,63.48,1.06,1057.94,1.1236,,,,
528,4,19.53,0.33,325.52,0.1089,,,,
513,-11,-53.71,-0.9,-895.18,0.81,,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
513,-11,-53.71,-0.9,-895.18,0.81,,,,
528,4,19.53,0.33,325.52,0.1089,,,,
535,11,53.71,0.9,895.18,0.81,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
540,16,78.12,1.3,1302.08,1.69,,,,
520,-4,-19.53,-0.33,-325.52,0.1089,,,,
521,-3,-14.65,-0.24,-244.14,0.0576,,,,
535,11,53.71,0.9,895.18,0.81,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
536,12,58.59,0.98,976.56,0.9604,,,,
526,2,9.77,0.16,162.76,0.0256,,,,
540,16,78.12,1.3,1302.08,1.69,,,,
522,-2,-9.77,-0.16,-162.76,0.0256,,,,
521,-3,-14.65,-0.24,-244.14,0.0576,,,,
543,19,92.77,1.55,1546.22,2.4025,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
535,11,53.71,0.9,895.18,0.81,,,,
529,5,24.41,0.41,406.9,0.1681,,,,
512,-12,-58.59,-0.98,-976.56,0.9604,,,,
547,23,112.3,1.87,1871.74,3.4969,,,,
517,-7,-34.18,-0.57,-569.66,0.3249,,,,
511,-13,-63.48,-1.06,-1057.94,1.1236,,,,
534,10,48.83,0.81,813.8,0.6561,,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
527,3,14.65,0.24,244.14,0.0576,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
518,-6,-29.3,-0.49,-488.28,0.2401,,,,
538,14,68.36,1.14,1139.32,1.2996,,,,
539,15,73.24,1.22,1220.7,1.4884,,,,
518,-6,-29.3,-0.49,-488.28,0.2401,,,,
510,-14,-68.36,-1.14,-1139.32,1.2996,,,,
527,3,14.65,0.24,244.14,0.0576,,,,
543,19,92.77,1.55,1546.22,2.4025,,,,
531,7,34.18,0.57,569.66,0.3249,,,,
512,-12,-58.59,-0.98,-976.56,0.9604,,,,
513,-11,-53.71,-0.9,-895.18,0.81,,,,
535,11,53.71,0.9,895.18,0.81,,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
525,1,4.88,0.08,81.38,0.0064,,,,
509,-15,-73.24,-1.22,-1220.7,1.4884,,,,
521,-3,-14.65,-0.24,-244.14,0.0576,,,,
541,17,83.01,1.38,1383.46,1.9044,,,,
536,12,58.59,0.98,976.56,0.9604,,,,
516,-8,-39.06,-0.65,-651.04,0.4225,,,,
